NO	session	age	sex	city	affiliation	info	Q2.1	Q2.2	Q2.3	Q3.1	Q3.1group	Q3.2a	Q3.2b	Q3.2c	Q3.3a	Q3.3b	Q3.3c	Q3.4a	Q3.4b	Q3.4c	Q3.5a	Q3.5b	Q3.5c	Q4.1	Q4.2	Q4.3	Q4.4	Q4.5	Q4.6	Q4.7a	Q4.7b	Q4.7c	Q5.1	Q5.2	Q5.3	Q5.4	Q5.5	Q6.1	Q6.2	Q6.3	Q6.3.1.1	Q6.3.1.2	Q6.3.1.3	Q6.3.1.4	Q6.3.1.5	Q6.3.2.1	Q6.3.2.2	Q6.3.2.3	Q6.3.2.4
886	2	21	1	"Depok"	"Universitas nasional"	2	"Sesuatu yg menyebabkan kepunahan"	"Reptil"	"Reptil"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
887	2	26	1	"Kutai Barat"	"SMKN 1 Bongan"	2	"Merupakan suatu fenomena pertikaian, pertentangan dan ketidakcocokan antara manusia dengan satwa liar."	"Monyet dan beberapa jenis primata lainnya"	"Monyet dan beberapa jenis primata lainnya, Ular, Burung, Anjing"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
888	2	28	1	"Jakarta"	"KPH Salvator"	2	"Adanya perebutan baik ruang dalam segi tempat hidup ataupun tempat mencari makanan"	"Ular, biawak, gajah, orangutan, dan harimau"	"Ular"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
889	2	32	1	"Pangkalpinang"	"DLH kota pangkalpinang"	2	"Ketidakseimbangan hubungan antara manusia dan satwa liar"	"Gajah"	"Tidak ada"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
890	2	26	2	"Tanjung Selor"	"Sahabat satwa kaltara"	2	"Karena kerusakan ekosistem hutan yang secara berlebihan"	"Gajah dan orang utan"	"Orangutan"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
891	2	28	3	"Bekasi"	"-"	3	"Perebutan wilayah atau gangguan terhadap lingkungan yang melibatkan satwa dan manusia"	"Monyet ekor panjang, gajah, harimau"	"Tidak ada yang mengganggu"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
892	2	24	1	"Padang"	"Universitas Andalas"	3	"Interaksi yg terjadi antara manusia dengan satwa liar yang menyebabkan dampak negatif"	"Harimau, buaya, dan beruang"	"Babi"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
893	2	22	1	"Depok"	"KSP Macaca UNJ"	3	"Ketika salah satu ataupun keduanya terancam"	"Primata, Harimau, Gajah. Hewan-hewan yang daya jelajahnya luas"	"Monyet"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
894	2	23	1	"Samarinda"	"Fmipa Unmul"	2	"Konflik negatif yang terjadi baik secara langsung maupun tidak langsung"	"Manusia dengan monyet"	"Tupai"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
895	2	71	2	"Tangerang"	"PT NSHE"	2	"Persaingan kepentingan antara manusia dan satwa"	"Tergantung lokasinya, mis.nya di Sumatra konflik antara vertebrata besar dgn manusia"	"Satwa ygmembutuhkan space luas yg kbtln juga secara bersamaan sdg digunakan oleh manusia"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
896	2	21	1	"jakarta"	"Biologi Universitas Negeri Jakarta"	3	"konflik diantara dua spesies yang berkompetisi untuk mendapatkan lahan jelajah, sumber makanan/pakan"	"harimau sumatra, gajah, orangutan"	"tidak ada"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
897	2	20	2	"bogor"	"ipb unversity/himprosatwaliar FKH IPB"	3	"ada kontak yang berujung negatif"	"serangga2an atau arachnida2an dan herpetofauna, sering bukan berarti mahal atau besar konfliknya spt gajah dan harimau"	"nyamuk"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
898	2	24	1	"Buleleng"	"Tambora Muda"	2	"Sebuah peristiwa di mana terdapat ketidakseimbangan antara manusia dan satwa liar."	"Harimau, Gajah, Orangutan, Komodo"	"Harimau, Gajah, Komodo"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
899	2	22	1	"Surabaya"	"Universitas Airlangga"	2	"Ketidakcocokan hidup dalam satu lingkupan"	"Satwa Liar Primata"	"Macaca/primata"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
900	2	20	2	"Dharmasraya"	"Mahasiswa"	3	"Konflik manausia dan satwa liar merupakan suatu peristiwa pertantangan antar satwa liar dengan manusia yang bertolak belakang dengan kebebasan satwa di alam liar."	"Satwa primata"	"Macaca"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
901	2	40	2	"Bogor"	"Pusat Suaka Satwa Elang Jawa"	3	"Antara egoisme, keserakahan yg dimiliki sifat manusia di alam ini"	"Ular, macan dan Burung"	"ular"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
902	2	27	2	"Samarinda"	"Universitas Mulawarman"	1	"Persaingan sumber pakan , keterbatasan ruang gerak pada satwa liar tersebut"	"Bekantan"	"Bekantan"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
903	2	30	1	"Jakarta"	"Tambora Muda"	3	"Permasalahan yang terjadi akibat interaksi antara manusia dan satwa liar"	"Kucing dan anjing liar"	"Kucing liar"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
904	2	23	1	"Samarinda"	"Universitas Mulawarman"	2	"Konflik Satwa liar adalah permasalah permasalahan yang terjadi akibat dari satwa yang kadang kadang memasuki pemukiman,lerkebunan manusia dll"	"Paling sering adalah dari bangsa primata,gajah,ular dll"	"Monyet,babi,ular"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
905	2	26	1	"Kota Bandung"	"Institut Teknologi Bandung"	2	"Saat adanya perselisihan lingkungan/tempat tinggal dari manusia dan satra liar"	"Gajah dan ular"	"Tidak ada"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
906	2	23	1	"Sidoarjo"	"Universitas Gadjah Mada"	3	"Kejadian di mana satwa liar dengan perilaku alamiahnya berbenturan dengan kehidupan manusia di sekitarnya dan menimbulkan konflik"	"Kucing dan anjing liar, primata (monyet, kera dll), gajah, harimau"	"Tidak tahu"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
907	2	22	1	"Jakarta"	"Univ nasional"	2	"Konflik atau pertengkaran antara manusia dgn satwa"	"Orangutan, harimau, gajah, monyet"	"Monyet"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
908	2	20	1	"Cirebon"	"Impact - FPIK UNPAD"	2	"ketika kehidupan manusia dan satwa liar sudah mulai bersilangan atau saling membuat tidak nyaman satu sama lain"	"Ular, Monyet, dan beberapa jenis musang atau hewan pengerat"	"Ular, Tikus"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
909	2	25	1	"Depok"	"Universitas Indonesia"	3	"terjadinya kondisi dimana satwa liar memakan ataupun merusak pertanian maupun perkebunan milik penduduk sekitar. hal tersebut diakibatkan oleh semakin berkurangnya hutan sebagai rumah bagi satwa liar."	"Gajah"	"sebenarnya tidak ada, jika manusia bisa melihat satwa liar sebagai sesama makhluk hidup yang sama-sama membutuhkan tempat tinggal dan ruang bergerak."	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
910	2	57	2	"Bogor"	"Yayorin"	2	"Perebutan wilayah tempat hidup untuk survive"	"Mamalia"	"Gak ada, yang ada kita mengganggu tempat hidupnya"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
911	2	23	2	"Samboja"	"Universitas Mulawarman"	2	"Konflik yg terjadi akibat perbuatan sumber daya antar manusia dan satwa, seperti contoh nya lahan atau hutan yg di ambil manusi"	"Orang utan, owa-owa, gajah"	"Jika dalam perkebunan sawit, di daerah Kalimantan sendiri orang utan sereing kali dianggap menjadi pengganggu atau hama pada perkebunan sawit"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
912	2	29	2	"Jakarta"	"Personal"	3	"Akuisisi lahan dan habitat alam yang menyalahi ketentuan lingkungan sehingga mengancam supply chain satwa liar"	"Habitat"	"Manusia adalah satwa liar sebenarnya"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
913	2	27	1	"Bontang"	"BNI"	2	"Interaksi negatif antara manusia dan satwa liar, baik secara langsung maupun tidak langsung yang dapat menimbulkan kerugian di semua pihak yang berkonflik."	"Orangutan Kalimantan, Harimau Sumatera, Beruang Madu"	"Orangutan Kalimantan"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
914	2	22	2	"Banyuwangi"	"Institut Pertanian Malang"	2	"Konflik yang berebut daerah jelajah (habitat) si satwa yang dirambah oleh manusia untuk dimanfaatkan lahannya."	"Falidae(harimau, macan tutul)"	"Predator yang berbisa"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
915	2	25	1	"Tangerang Selatan"	"Pribadi"	3	"ketika manusia dan satwa liar bertemu di area sensitif seperti perumahan dan ladang."	"ular, biawak, monyet dan musang."	"satwa liar predator atau berbisa dan pemakan pangan."	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
916	2	22	1	"Tangerang Selatan"	"COP"	2	"Ketika terjadi gesekan antara kehiduoan manusia dan satwa. Ketika manusia mulai menganggu kehidupan satwa liar dan satwa liar merasa terancam"	"Orangutan, Gajah, Harimau, Buaya"	"Primata"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
917	2	21	2	"Jakarta"	"Universitas Nasional"	2	"Konflik manusia dan satwa liar terjadi karena sebagai satwa liar khusunya yang berukuran besar memiliki wilayah jelajah yang luas dan seiring dengan mwningkatnya jumlah penduduk yang menyebabkan kwbut"	"Harimau,gajah"	"Tikus"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
918	2	20	2	"Jakarta"	"Universitas Nasional"	2	"Terganggunya kehidupan manusia maupun satwa akibat salah satu kegiatan dari manusia"	"Semua binatang"	"Nyamuk"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
919	2	46	2	"jambi"	"Forum Konservasi Gajah Indonesia"	2	"interaksi negatif yg timbul antara manusia dan satwa liar"	"gajah"	"gajah"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
920	2	28	2	"Depok"	"Umum"	3	"Suatu kejadian dimana kedua pihak (manusia dan satwa liar) merasa kehidupannya terganggu dan merasa di rugikan"	"Ular, Harimau, Gajah"	"Tidak ada, hanya yang memiliki kepentingan dan tujuan khusus saja yang merasa kehidupannya terganggu,"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
921	2	31	2	"Yogyakarta"	"CRCS UGM"	3	"Ketidak-sepahaman & ketidak-setaraan mengenai peran penting masing-masing individu bagi keberlangsungan ekologis alam semesta"	"Serangga, unggas, dan binatang pengerat"	"Serangga"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
922	2	28	1	"Bogor"	"Tambora"	2	"Manusia dan satli tidak berdampingan secara harmonis"	"Orangutan, gajah, monyet ekor panjang"	"Monyet ekor panjang"	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
923	2	28	1	"Jakarta"	"Universitas Indonesia"	3	"Konflik manusia-satwa liar adalah segala interaksi antara manusia dan satwa liar yang mengakibatkan efek negatif kepada kehidupan sosial manusia, ekonomi, kebudayaan, dan pada konservasi satwa liar da"	"Bergantung pada wilayahnya. Contoh: Di Sumatera, satwa liar jenis gajah dan harimau sumatera relatif sering berkonflik dengan masyarakat yang tinggal di daerah penyangga hutan."	"Bergantung pada wilayahnya. Contoh yang general: ular."	"-9"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	"-9"	-9	-9	-9	"-9.0"	-9	-9	-9	-9	"-9.0"	-9	-9	-9	"-9.0"	"-9.0"	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
